text,label
"The packaging does what it says, no complaints, no praise.",neutral
"Terrible experience with the mobile experience, would not recommend.",negative
"This tool met the basic requirements, nothing more.",neutral
The subscription was a complete waste of money.,negative
"Really smooth experience, the service is top notch.",positive
"The support team failed within a week, extremely poor quality.",negative
"The delivery is fast, reliable, and easy to use.",positive
"Fantastic experience with the product, would recommend to anyone.",positive
"I regret purchasing the support team, total letdown.",negative
"Great job on the website, everything worked perfectly.",positive
"The service is fine for the price, average quality.",neutral
"Just an ordinary experience with the update, hard to say more.",neutral
The website arrived broken and customer service ignored me.,negative
"I'm very happy with the new feature, five stars.",positive
"Great job on the product, everything worked perfectly.",positive
"Great job on the new feature, everything worked perfectly.",positive
"The subscription is fine for the price, average quality.",neutral
"Great job on the software, everything worked perfectly.",positive
"This gadget does what it says, no complaints, no praise.",neutral
"The mobile experience made my day so much easier, thank you.",positive
"Really smooth experience, this tool is top notch.",positive
"The checkout process is slow, buggy, and confusing to use.",negative
"The app is slow, buggy, and confusing to use.",negative
The app arrived broken and customer service ignored me.,negative
"I regret purchasing the website, total letdown.",negative
"I'm really disappointed with the software, it barely works.",negative
"I'm really disappointed with this gadget, it barely works.",negative
"The app exceeded my expectations, really impressed.",positive
"The product made my day so much easier, thank you.",positive
The mobile experience was a complete waste of money.,negative
"The subscription failed within a week, extremely poor quality.",negative
The support team was a complete waste of money.,negative
"It's an average experience with the product, could be better.",neutral
"I absolutely love the mobile experience, it works great.",positive
"The website failed within a week, extremely poor quality.",negative
"This gadget made my day so much easier, thank you.",positive
"Really smooth experience, the software is top notch.",positive
"Couldn't be happier with the update, will buy again.",positive
"Great job on the service, everything worked perfectly.",positive
"The delivery works as expected, pretty standard overall.",neutral
"I have mixed feelings about the website, some parts are fine.",neutral
"The checkout process is fast, reliable, and easy to use.",positive
"The website exceeded my expectations, really impressed.",positive
"The checkout process met the basic requirements, nothing more.",neutral
"I have mixed feelings about the service, some parts are fine.",neutral
"The new feature is fine for the price, average quality.",neutral
"Worst experience ever, the subscription does not work as advertised.",negative
"The app failed within a week, extremely poor quality.",negative
"I'm neutral on the app, it did the job I guess.",neutral
"I'm very happy with the subscription, five stars.",positive
"I'm very happy with the website, five stars.",positive
"Fantastic experience with the update, would recommend to anyone.",positive
"The delivery met the basic requirements, nothing more.",neutral
"I have mixed feelings about this tool, some parts are fine.",neutral
The service works flawlessly and looks great too.,positive
The packaging was a complete waste of money.,negative
"Couldn't be happier with the packaging, will buy again.",positive
"I have mixed feelings about the update, some parts are fine.",neutral
"Terrible experience with the service, would not recommend.",negative
"The service works as expected, pretty standard overall.",neutral
"Terrible experience with the product, would not recommend.",negative
"The service exceeded my expectations, really impressed.",positive
"It's an average experience with this tool, could be better.",neutral
"Not bad, not great -- the new feature is just fine.",neutral
"The support team works as expected, pretty standard overall.",neutral
"Terrible experience with the website, would not recommend.",negative
"Just an ordinary experience with this tool, hard to say more.",neutral
"I regret purchasing the packaging, total letdown.",negative
The packaging works flawlessly and looks great too.,positive
"Very frustrated with the checkout process, this needs a lot of work.",negative
"I regret purchasing this tool, total letdown.",negative
"Fantastic experience with the software, would recommend to anyone.",positive
"The customer service works as expected, pretty standard overall.",neutral
The checkout process was a complete waste of money.,negative
"I'm neutral on the new feature, it did the job I guess.",neutral
The update was a complete waste of money.,negative
"I regret purchasing the delivery, total letdown.",negative
"The checkout process made my day so much easier, thank you.",positive
"Worst experience ever, the service does not work as advertised.",negative
"The new feature is slow, buggy, and confusing to use.",negative
"I'm neutral on the update, it did the job I guess.",neutral
"The software made my day so much easier, thank you.",positive
"The software is slow, buggy, and confusing to use.",negative
"I'm really disappointed with the new feature, it barely works.",negative
"The app met the basic requirements, nothing more.",neutral
"Worst experience ever, the mobile experience does not work as advertised.",negative
"It's an average experience with the service, could be better.",neutral
"The customer service is okay, nothing special either way.",neutral
"The packaging made my day so much easier, thank you.",positive
"I have mixed feelings about the checkout process, some parts are fine.",neutral
"The update is fast, reliable, and easy to use.",positive
"Just an ordinary experience with the packaging, hard to say more.",neutral
"The website made my day so much easier, thank you.",positive
"Not bad, not great -- this tool is just fine.",neutral
"The product works as expected, pretty standard overall.",neutral
"I absolutely love the service, it works great.",positive
"I'm really disappointed with the delivery, it barely works.",negative
"Not bad, not great -- the delivery is just fine.",neutral
The software kept crashing and support was no help at all.,negative
"Terrible experience with the update, would not recommend.",negative
"Just an ordinary experience with the mobile experience, hard to say more.",neutral
"I absolutely love this gadget, it works great.",positive
"I absolutely love the update, it works great.",positive
The website works flawlessly and looks great too.,positive
"Very frustrated with this tool, this needs a lot of work.",negative
"Not bad, not great -- this gadget is just fine.",neutral
"The product is okay, nothing special either way.",neutral
"Just an ordinary experience with the new feature, hard to say more.",neutral
"Couldn't be happier with the new feature, will buy again.",positive
"I'm really disappointed with the service, it barely works.",negative
The product kept crashing and support was no help at all.,negative
"I'm really disappointed with the website, it barely works.",negative
"I regret purchasing the app, total letdown.",negative
"I regret purchasing this gadget, total letdown.",negative
"I have mixed feelings about the subscription, some parts are fine.",neutral
"Great job on the app, everything worked perfectly.",positive
"I'm very happy with the delivery, five stars.",positive
"I'm very happy with the software, five stars.",positive
The support team kept crashing and support was no help at all.,negative
"Couldn't be happier with the service, will buy again.",positive
"Terrible experience with this gadget, would not recommend.",negative
"The software met the basic requirements, nothing more.",neutral
"The service failed within a week, extremely poor quality.",negative
"The support team is fine for the price, average quality.",neutral
"It's an average experience with the subscription, could be better.",neutral
"Really smooth experience, the packaging is top notch.",positive
"Couldn't be happier with the checkout process, will buy again.",positive
"Very frustrated with the update, this needs a lot of work.",negative
"Really smooth experience, the checkout process is top notch.",positive
"Very frustrated with this gadget, this needs a lot of work.",negative
The delivery was a complete waste of money.,negative
"Just an ordinary experience with the subscription, hard to say more.",neutral
"The product does what it says, no complaints, no praise.",neutral
"The delivery is okay, nothing special either way.",neutral
"I'm really disappointed with the subscription, it barely works.",negative
"The packaging is slow, buggy, and confusing to use.",negative
"Fantastic experience with the support team, would recommend to anyone.",positive
"The customer service is slow, buggy, and confusing to use.",negative
"Not bad, not great -- the subscription is just fine.",neutral
"Worst experience ever, the new feature does not work as advertised.",negative
"I regret purchasing the software, total letdown.",negative
"I'm neutral on the support team, it did the job I guess.",neutral
"I'm neutral on the website, it did the job I guess.",neutral
"Terrible experience with the delivery, would not recommend.",negative
"Not bad, not great -- the website is just fine.",neutral
"The customer service is fast, reliable, and easy to use.",positive
"Couldn't be happier with the app, will buy again.",positive
"The support team does what it says, no complaints, no praise.",neutral
The customer service works flawlessly and looks great too.,positive
"Terrible experience with the subscription, would not recommend.",negative
"The app works as expected, pretty standard overall.",neutral
"The subscription is slow, buggy, and confusing to use.",negative
This tool was a complete waste of money.,negative
"It's an average experience with the website, could be better.",neutral
"I have mixed feelings about the support team, some parts are fine.",neutral
"Worst experience ever, the packaging does not work as advertised.",negative
"I'm neutral on the mobile experience, it did the job I guess.",neutral
"I'm neutral on the checkout process, it did the job I guess.",neutral
"Really smooth experience, this gadget is top notch.",positive
"The mobile experience failed within a week, extremely poor quality.",negative
"The subscription made my day so much easier, thank you.",positive
"The delivery is slow, buggy, and confusing to use.",negative
"The mobile experience is fast, reliable, and easy to use.",positive
"Not bad, not great -- the service is just fine.",neutral
"I'm very happy with this gadget, five stars.",positive
The update kept crashing and support was no help at all.,negative
"The product is slow, buggy, and confusing to use.",negative
"I have mixed feelings about the customer service, some parts are fine.",neutral
"Not bad, not great -- the update is just fine.",neutral
"It's an average experience with the software, could be better.",neutral
"Just an ordinary experience with the software, hard to say more.",neutral
"I'm very happy with the mobile experience, five stars.",positive
"I'm really disappointed with this tool, it barely works.",negative
"I absolutely love the checkout process, it works great.",positive
"It's an average experience with the customer service, could be better.",neutral
"I regret purchasing the product, total letdown.",negative
"Just an ordinary experience with the checkout process, hard to say more.",neutral
"It's an average experience with the app, could be better.",neutral
The support team works flawlessly and looks great too.,positive
"Great job on the mobile experience, everything worked perfectly.",positive
"Worst experience ever, the support team does not work as advertised.",negative
"The mobile experience works as expected, pretty standard overall.",neutral
"I'm really disappointed with the support team, it barely works.",negative
"Fantastic experience with the packaging, would recommend to anyone.",positive
"This tool exceeded my expectations, really impressed.",positive
"Really smooth experience, the new feature is top notch.",positive
"The new feature made my day so much easier, thank you.",positive
The packaging arrived broken and customer service ignored me.,negative
"This tool failed within a week, extremely poor quality.",negative
"I'm neutral on the subscription, it did the job I guess.",neutral
"The delivery is fine for the price, average quality.",neutral
The new feature kept crashing and support was no help at all.,negative
"Great job on this tool, everything worked perfectly.",positive
The app was a complete waste of money.,negative
"This gadget is fine for the price, average quality.",neutral
"I absolutely love the packaging, it works great.",positive
"The update exceeded my expectations, really impressed.",positive
The app works flawlessly and looks great too.,positive
"Worst experience ever, the update does not work as advertised.",negative
"I'm really disappointed with the packaging, it barely works.",negative
The product works flawlessly and looks great too.,positive
The mobile experience arrived broken and customer service ignored me.,negative
"Really smooth experience, the app is top notch.",positive
"The website is slow, buggy, and confusing to use.",negative
"I have mixed feelings about the new feature, some parts are fine.",neutral
"The customer service is fine for the price, average quality.",neutral
"The customer service does what it says, no complaints, no praise.",neutral
"It's an average experience with the packaging, could be better.",neutral
"This tool does what it says, no complaints, no praise.",neutral
"The subscription works as expected, pretty standard overall.",neutral
"Not bad, not great -- the support team is just fine.",neutral
"I absolutely love the app, it works great.",positive
The app kept crashing and support was no help at all.,negative
"The product met the basic requirements, nothing more.",neutral
"I'm very happy with the customer service, five stars.",positive
"I'm neutral on this gadget, it did the job I guess.",neutral
"The packaging exceeded my expectations, really impressed.",positive
The software was a complete waste of money.,negative
"Very frustrated with the mobile experience, this needs a lot of work.",negative
"Very frustrated with the packaging, this needs a lot of work.",negative
"I have mixed feelings about this gadget, some parts are fine.",neutral
"This gadget is okay, nothing special either way.",neutral
"Couldn't be happier with the website, will buy again.",positive
"Fantastic experience with the mobile experience, would recommend to anyone.",positive
"The service met the basic requirements, nothing more.",neutral
"The product is fine for the price, average quality.",neutral
"The app is okay, nothing special either way.",neutral
"Not bad, not great -- the packaging is just fine.",neutral
"Great job on the subscription, everything worked perfectly.",positive
The subscription kept crashing and support was no help at all.,negative
"I'm very happy with the packaging, five stars.",positive
"Great job on the packaging, everything worked perfectly.",positive
"Terrible experience with the customer service, would not recommend.",negative
"The subscription met the basic requirements, nothing more.",neutral
"I regret purchasing the subscription, total letdown.",negative
"The support team is fast, reliable, and easy to use.",positive
"The subscription is okay, nothing special either way.",neutral
"This tool is fast, reliable, and easy to use.",positive
"Couldn't be happier with this gadget, will buy again.",positive
"Fantastic experience with this tool, would recommend to anyone.",positive
"Really smooth experience, the website is top notch.",positive
"Just an ordinary experience with the app, hard to say more.",neutral
The website kept crashing and support was no help at all.,negative
"Couldn't be happier with the product, will buy again.",positive
"I'm really disappointed with the checkout process, it barely works.",negative
The product arrived broken and customer service ignored me.,negative
"I absolutely love the product, it works great.",positive
The customer service was a complete waste of money.,negative
"Worst experience ever, the customer service does not work as advertised.",negative
"Fantastic experience with the subscription, would recommend to anyone.",positive
The service was a complete waste of money.,negative
"The packaging works as expected, pretty standard overall.",neutral
"It's an average experience with the update, could be better.",neutral
"Very frustrated with the new feature, this needs a lot of work.",negative
"Fantastic experience with the website, would recommend to anyone.",positive
"Great job on the delivery, everything worked perfectly.",positive
"The checkout process failed within a week, extremely poor quality.",negative
"The checkout process exceeded my expectations, really impressed.",positive
"Worst experience ever, the checkout process does not work as advertised.",negative
"This gadget works as expected, pretty standard overall.",neutral
"The product exceeded my expectations, really impressed.",positive
"The subscription does what it says, no complaints, no praise.",neutral
"I absolutely love the subscription, it works great.",positive
"Terrible experience with the packaging, would not recommend.",negative
"The mobile experience does what it says, no complaints, no praise.",neutral
"The website is fine for the price, average quality.",neutral
"The customer service met the basic requirements, nothing more.",neutral
"I'm neutral on the packaging, it did the job I guess.",neutral
"The checkout process is fine for the price, average quality.",neutral
The delivery works flawlessly and looks great too.,positive
"I'm very happy with the product, five stars.",positive
This tool kept crashing and support was no help at all.,negative
This tool works flawlessly and looks great too.,positive
"I'm really disappointed with the customer service, it barely works.",negative
"The software failed within a week, extremely poor quality.",negative
"The delivery does what it says, no complaints, no praise.",neutral
The service arrived broken and customer service ignored me.,negative
"The service is slow, buggy, and confusing to use.",negative
"Fantastic experience with the service, would recommend to anyone.",positive
The new feature arrived broken and customer service ignored me.,negative
"I'm neutral on the customer service, it did the job I guess.",neutral
"Just an ordinary experience with the customer service, hard to say more.",neutral
"This tool is okay, nothing special either way.",neutral
The software works flawlessly and looks great too.,positive
"The delivery made my day so much easier, thank you.",positive
"Great job on this gadget, everything worked perfectly.",positive
"The support team made my day so much easier, thank you.",positive
"Terrible experience with the checkout process, would not recommend.",negative
"I'm really disappointed with the mobile experience, it barely works.",negative
"I absolutely love the software, it works great.",positive
"Just an ordinary experience with the support team, hard to say more.",neutral
"The checkout process is okay, nothing special either way.",neutral
"Very frustrated with the support team, this needs a lot of work.",negative
"I regret purchasing the update, total letdown.",negative
"The delivery failed within a week, extremely poor quality.",negative
"The update failed within a week, extremely poor quality.",negative
"Great job on the update, everything worked perfectly.",positive
The customer service arrived broken and customer service ignored me.,negative
"The update works as expected, pretty standard overall.",neutral
"This tool made my day so much easier, thank you.",positive
"The website does what it says, no complaints, no praise.",neutral
"It's an average experience with the mobile experience, could be better.",neutral
"The software is fast, reliable, and easy to use.",positive
"Very frustrated with the software, this needs a lot of work.",negative
"Just an ordinary experience with the product, hard to say more.",neutral
"Terrible experience with the support team, would not recommend.",negative
The checkout process arrived broken and customer service ignored me.,negative
"Not bad, not great -- the app is just fine.",neutral
"The packaging met the basic requirements, nothing more.",neutral
"It's an average experience with the support team, could be better.",neutral
"I'm really disappointed with the update, it barely works.",negative
The mobile experience works flawlessly and looks great too.,positive
"The service is fast, reliable, and easy to use.",positive
"Really smooth experience, the update is top notch.",positive
The support team arrived broken and customer service ignored me.,negative
The product was a complete waste of money.,negative
"The new feature does what it says, no complaints, no praise.",neutral
"Really smooth experience, the customer service is top notch.",positive
This gadget works flawlessly and looks great too.,positive
"Worst experience ever, the product does not work as advertised.",negative
"The service is okay, nothing special either way.",neutral
"I'm neutral on this tool, it did the job I guess.",neutral
This tool arrived broken and customer service ignored me.,negative
"The service does what it says, no complaints, no praise.",neutral
"Just an ordinary experience with the website, hard to say more.",neutral
The update works flawlessly and looks great too.,positive
"I'm neutral on the software, it did the job I guess.",neutral
"Worst experience ever, the software does not work as advertised.",negative
"The software does what it says, no complaints, no praise.",neutral
"The website works as expected, pretty standard overall.",neutral
"The mobile experience is okay, nothing special either way.",neutral
The customer service kept crashing and support was no help at all.,negative
"Really smooth experience, the subscription is top notch.",positive
"The software works as expected, pretty standard overall.",neutral
The website was a complete waste of money.,negative
"The service made my day so much easier, thank you.",positive
"I have mixed feelings about the app, some parts are fine.",neutral
"Just an ordinary experience with this gadget, hard to say more.",neutral
"The update is okay, nothing special either way.",neutral
"The update made my day so much easier, thank you.",positive
"It's an average experience with this gadget, could be better.",neutral
"Really smooth experience, the mobile experience is top notch.",positive
This gadget was a complete waste of money.,negative
"This gadget failed within a week, extremely poor quality.",negative
"The subscription is fast, reliable, and easy to use.",positive
"Worst experience ever, this gadget does not work as advertised.",negative
"Not bad, not great -- the product is just fine.",neutral
"Terrible experience with the software, would not recommend.",negative
"Not bad, not great -- the customer service is just fine.",neutral
"The mobile experience is fine for the price, average quality.",neutral
"The delivery exceeded my expectations, really impressed.",positive
"The update is fine for the price, average quality.",neutral
"Not bad, not great -- the checkout process is just fine.",neutral
The new feature works flawlessly and looks great too.,positive
"Not bad, not great -- the software is just fine.",neutral
"The customer service made my day so much easier, thank you.",positive
"The app is fine for the price, average quality.",neutral
"This gadget is fast, reliable, and easy to use.",positive
"I'm very happy with the service, five stars.",positive
"The support team is okay, nothing special either way.",neutral
The checkout process works flawlessly and looks great too.,positive
The update arrived broken and customer service ignored me.,negative
This gadget arrived broken and customer service ignored me.,negative
"Worst experience ever, the website does not work as advertised.",negative
"I have mixed feelings about the product, some parts are fine.",neutral
"I absolutely love the website, it works great.",positive
"Terrible experience with this tool, would not recommend.",negative
"I absolutely love the support team, it works great.",positive
The service kept crashing and support was no help at all.,negative
"The packaging is fast, reliable, and easy to use.",positive
"Very frustrated with the customer service, this needs a lot of work.",negative
The software arrived broken and customer service ignored me.,negative
"It's an average experience with the delivery, could be better.",neutral
"Fantastic experience with this gadget, would recommend to anyone.",positive
"It's an average experience with the checkout process, could be better.",neutral
"I'm very happy with the update, five stars.",positive
"The new feature failed within a week, extremely poor quality.",negative
"Worst experience ever, the app does not work as advertised.",negative
This gadget kept crashing and support was no help at all.,negative
"Couldn't be happier with the support team, will buy again.",positive
"Very frustrated with the service, this needs a lot of work.",negative
"The new feature is okay, nothing special either way.",neutral
"The website is okay, nothing special either way.",neutral
"Terrible experience with the app, would not recommend.",negative
"The software is okay, nothing special either way.",neutral
"I absolutely love the customer service, it works great.",positive
"Couldn't be happier with the software, will buy again.",positive
"This tool works as expected, pretty standard overall.",neutral
"Very frustrated with the app, this needs a lot of work.",negative
"It's an average experience with the new feature, could be better.",neutral
"I'm neutral on the service, it did the job I guess.",neutral
"The subscription exceeded my expectations, really impressed.",positive
"The checkout process does what it says, no complaints, no praise.",neutral
"The packaging is fine for the price, average quality.",neutral
"The product is fast, reliable, and easy to use.",positive
"The checkout process works as expected, pretty standard overall.",neutral
"Fantastic experience with the new feature, would recommend to anyone.",positive
The new feature was a complete waste of money.,negative
"The packaging failed within a week, extremely poor quality.",negative
"Fantastic experience with the customer service, would recommend to anyone.",positive
"Very frustrated with the delivery, this needs a lot of work.",negative
"The new feature met the basic requirements, nothing more.",neutral
"Just an ordinary experience with the service, hard to say more.",neutral
"The app does what it says, no complaints, no praise.",neutral
"The support team met the basic requirements, nothing more.",neutral
"The mobile experience exceeded my expectations, really impressed.",positive
"This tool is slow, buggy, and confusing to use.",negative
"The app is fast, reliable, and easy to use.",positive
"I regret purchasing the new feature, total letdown.",negative
"I regret purchasing the checkout process, total letdown.",negative
"Couldn't be happier with the customer service, will buy again.",positive
"The customer service exceeded my expectations, really impressed.",positive
"Really smooth experience, the support team is top notch.",positive
"I'm very happy with the app, five stars.",positive
"The app made my day so much easier, thank you.",positive
"Worst experience ever, the delivery does not work as advertised.",negative
"Terrible experience with the new feature, would not recommend.",negative
"Great job on the support team, everything worked perfectly.",positive
"The customer service failed within a week, extremely poor quality.",negative
"The update met the basic requirements, nothing more.",neutral
"The website met the basic requirements, nothing more.",neutral
"This gadget met the basic requirements, nothing more.",neutral
"Fantastic experience with the delivery, would recommend to anyone.",positive
"I'm neutral on the delivery, it did the job I guess.",neutral
"The software exceeded my expectations, really impressed.",positive
"Great job on the customer service, everything worked perfectly.",positive
"I'm very happy with this tool, five stars.",positive
"I absolutely love the new feature, it works great.",positive
"Just an ordinary experience with the delivery, hard to say more.",neutral
"Fantastic experience with the app, would recommend to anyone.",positive
"Really smooth experience, the delivery is top notch.",positive
"I'm neutral on the product, it did the job I guess.",neutral
